target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,41.577,1.173,0.0,10.80,10.66,30-04-2022,08:57
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,38.072,0.945,0.0,43.40,43.40,30-04-2022,08:57
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,39.026,1.748,0.0,45.51,45.50,30-04-2022,08:58
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,61.48,27.837,0.0,41.10,41.10,30-04-2022,08:58
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,38.712,2.592,0.0,10.68,10.62,02-05-2022,10:55
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,40.63,5.026,0.0,41.60,41.60,02-05-2022,10:55
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,40.238,0.672,0.0,46.42,46.42,02-05-2022,10:55
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,39.413,8.588,0.0,41.83,41.81,02-05-2022,10:55
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.076,0.03,0.0,10.24,10.34,03-05-2022,15:43
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.013,0.057,0.0,304.62,306.00,03-05-2022,15:43
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.304,0.131,0.0,730.52,733.76,03-05-2022,15:44
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.96,0.173,0.0,568.97,571.67,03-05-2022,15:44
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.103,0.059,0.0,10.19,10.29,04-05-2022,12:32
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.56,0.055,0.0,304.74,306.12,04-05-2022,12:32
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.304,0.176,0.0,393.42,395.88,04-05-2022,12:32
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.867,0.187,0.0,552.73,555.44,04-05-2022,12:33
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,46.623,6.626,0.0,10.90,10.77,04-05-2022,13:00
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,45.389,3.811,0.0,34.36,34.36,04-05-2022,13:00
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,39.586,1.79,0.0,39.42,39.42,04-05-2022,13:00
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,44.924,6.237,0.0,38.86,38.86,04-05-2022,13:00
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.172,6.145,0.0,10.38,10.26,04-05-2022,14:15
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,46.238,3.819,0.0,36.22,36.22,04-05-2022,14:15
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,47.885,12.257,0.0,38.16,38.16,04-05-2022,14:15
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,47.886,6.534,0.0,36.80,36.80,04-05-2022,14:15
alibaba,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P.",Windows,74.947,5.007,0.0,9.64,9.53,05-05-2022,11:01
amazon,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P.",Windows,59.618,1.972,0.0,7.65,7.50,05-05-2022,11:01
azure,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P.",Windows,43.348,3.628,0.0,15.61,15.51,05-05-2022,11:02
google,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P.",Windows,77.068,8.996,0.0,8.91,8.84,05-05-2022,11:02
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.044,0.04,0.0,10.36,10.46,05-05-2022,11:10
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.549,0.105,0.0,310.15,311.58,05-05-2022,11:10
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.494,0.435,0.0,603.04,606.06,05-05-2022,11:10
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.798,0.244,0.0,571.92,574.68,05-05-2022,11:11
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.01,6.975,0.0,10.69,10.62,05-05-2022,12:50
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.203,7.608,0.0,35.94,35.94,05-05-2022,12:50
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,42.2,10.572,0.0,38.90,38.90,05-05-2022,12:50
